                                                                                             	/home/glatard/code/one-voxel/results/onevoxel vs /home/glatard/code/one-voxel/results/regular	
intermediate/sub02/time_filter/fmri_sub02_sesstest_taskrest_n_dc_low.mat                     	                                             1                                              	
intermediate/sub02/time_filter/fmri_sub02_sessretest_taskrest_n_dc_low.mat                   	                                             1                                              	
quality_control/group_coregistration/func_mean_average_stereonl.nii.gz                       	                                             1                                              	
quality_control/group_coregistration/anat_tab_qc_coregister_stereolin.csv                    	                                             1                                              	
quality_control/group_coregistration/anat_mask_group_stereonl.nii.gz                         	                                             1                                              	
quality_control/group_coregistration/anat_mean_std_stereonl.nii.gz                           	                                             1                                              	
quality_control/group_coregistration/anat_mean_average_stereonl.nii.gz                       	                                             1                                              	
quality_control/group_coregistration/anat_mask_group_stereolin.nii.gz                        	                                             1                                              	
quality_control/group_coregistration/func_fig_qc_coregister_stereonl.pdf                     	                                             1                                              	
quality_control/group_coregistration/anat_mean_std_stereolin.nii.gz                          	                                             1                                              	
quality_control/group_coregistration/anat_fig_qc_coregister_stereonl.pdf                     	                                             1                                              	
quality_control/group_coregistration/func_mask_group_stereonl.nii.gz                         	                                             1                                              	
quality_control/group_coregistration/anat_fig_qc_coregister_stereolin.pdf                    	                                             1                                              	
quality_control/group_coregistration/anat_mean_average_stereolin.nii.gz                      	                                             1                                              	
quality_control/group_coregistration/anat_mask_average_stereonl.nii.gz                       	                                             1                                              	
quality_control/group_coregistration/func_mean_std_stereonl.nii.gz                           	                                             1                                              	
quality_control/group_coregistration/func_mask_average_stereonl.nii.gz                       	                                             1                                              	
quality_control/group_coregistration/anat_mask_average_stereolin.nii.gz                      	                                             1                                              	
quality_control/group_coregistration/anat_tab_qc_coregister_stereonl.csv                     	                                             1                                              	
quality_control/group_coregistration/func_tab_qc_coregister_stereonl.csv                     	                                             1                                              	
quality_control/group_motion/qc_coregister_between_runs_group.csv                            	                                             1                                              	
quality_control/group_motion/qc_motion_group.pdf                                             	                                             1                                              	
quality_control/group_motion/qc_coregister_between_runs_group.pdf                            	                                             1                                              	
quality_control/group_motion/qc_motion_group.csv                                             	                                             0                                              	
quality_control/group_motion/qc_scrubbing_group.csv                                          	                                             1                                              	
quality_control/sub01/motion_correction/fig_motion_within_run.pdf                            	                                             1                                              	
quality_control/sub01/motion_correction/tab_coregister_motion.csv                            	                                             1                                              	
quality_control/sub01/motion_correction/func_sub01_mask_average_stereonl.nii.gz              	                                             1                                              	
quality_control/sub01/motion_correction/fig_coregister_motion.pdf                            	                                             1                                              	
quality_control/sub02/motion_correction/func_sub02_mask_average_stereonl.nii.gz              	                                             1                                              	
quality_control/sub02/motion_correction/fig_motion_within_run.pdf                            	                                             1                                              	
quality_control/sub02/motion_correction/tab_coregister_motion.csv                            	                                             1                                              	
quality_control/sub02/motion_correction/fig_coregister_motion.pdf                            	                                             1                                              	
